Package,LibPath,Version,Priority,Built
abind,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4-5,NA,3.4.0
acepack,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.1,NA,3.4.0
acs,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1.2,NA,3.4.2
ada,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0-5,NA,3.4.0
ade4,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.7-10,NA,3.4.3
ape,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,5.0,NA,3.4.2
arm,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.9-3,NA,3.4.0
ash,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-15,NA,3.4.0
assertive,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3-5,NA,3.4.0
assertive.base,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-7,NA,3.4.0
assertive.code,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-1,NA,3.4.0
assertive.data,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-1,NA,3.4.0
assertive.data.uk,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-1,NA,3.4.0
assertive.data.us,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-1,NA,3.4.0
assertive.datetimes,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-2,NA,3.4.0
assertive.files,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-2,NA,3.4.0
assertive.matrices,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-1,NA,3.4.0
assertive.models,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-1,NA,3.4.0
assertive.numbers,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-2,NA,3.4.0
assertive.properties,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-4,NA,3.4.0
assertive.reflection,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-4,NA,3.4.0
assertive.sets,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-3,NA,3.4.0
